Instrument,DSPLY_NAME,1-day Price PCT Change,MTD Price PCT Change,QTD Price PCT Change,YTD Price PCT Change,YTD Total Return
.SPX,S&P 500 INDEX/d,-0.47501658249202705,2.60914749719998,1.4664263445569399,1.4664263445569399,NaN
.XNDX,NASDAQ 100 TR/d,0.633427164531275,-0.03835770811371201,0.28350038381692605,0.28350038381692605,NaN
.RUMTU,RU MC TR USD/d,-0.051318410773815,5.569157002481151,5.2899619630695,5.2899619630695,NaN
.RUT,RUSSELL 2000 I/d,0.039937781236477,6.14424973113721,11.4537803628559,11.4537803628559,NaN
.STOXX,STXE 600 PR/d,-1.63699511815996,2.30895541240368,1.4936220334310901,1.4936220334310901,NaN
.N225E,N225 INDEX CLOSE,-3.98518045615477,4.70882274370568,5.54522144411727,5.54522144411727,NaN
.dMIWD00000PUS,MSCI ACWI PR USD,-1.4841555155116901,2.21478378676852,1.68320263420127,1.68320263420127,NaN
.dMIWU00000PUS,ACWI ex USA,-2.94877733977804,1.87724792640258,2.03671540202846,2.03671540202846,NaN
.dMIEA00000PUS,CI-EU/AUS/FEAST,-2.8987116389455,2.11021894545549,0.99379518282674,0.99379518282674,NaN
.dMIEF00000PUS,MSCI-EM,-3.21951480368344,0.729034888076252,3.71690064928629,3.71690064928629,NaN
XLC,THE CM SCTR SPDR,0.392761958198884,7.0125598086124405,6.061055127445151,6.061055127445151,6.06105512744521
XLY,SPDR CONS DISCR,0.4174975074775711,-0.530831430158618,0.23012812538874,0.23012812538874,0.230128125388718
XLP,SPDR CONS STPL,-1.61641280696302,-1.23264159775317,-6.1527057079317995,-6.1527057079317995,-6.15270570793176
XLE,SPDR ENERGY SEL,-2.37226277372263,22.4567650050865,27.0448548812665,27.0448548812665,27.0448548812664
XLF,SPDR FINANCL SEL,-1.9125683060109198,11.6062176165803,9.599728629579381,9.599728629579381,9.59972862957925
XLV,SPDR HLTH CARE,-0.8627520028171579,-2.10379900895419,-0.7316643159379409,-0.7316643159379409,-0.731664315937974
XLI,SPDR INDL SELECT,-1.03757099169943,6.88922968031143,2.32636928289103,2.32636928289103,2.32636928289103
XLB,SPDR MTRLS SELCT,-1.2751677852349,4.11947904869763,1.6024312750379899,1.6024312750379899,1.60243127503803
XLRE.K,REAL ESTATE SPDR,-1.73684210526315,1.5778019586507201,2.13347921225384,2.13347921225384,2.13347921225382
XLK,SPDR TECH SELECT,0.530769230769224,1.3650818273481597,0.5153053376403479,0.5153053376403479,0.515305337640415
XLU,SPDR UTIL SELECT,-1.8499831819710701,-6.098149637972651,-6.921850079744821,-6.921850079744821,-6.92185007974485
VLUE.K,ISH US VL FC ETF,-0.373676562175629,6.90576965916685,10.436083304568,10.436083304568,10.4360833045679
QUAL.K,ISH USA QLTY ETF,-0.43574846206425605,3.19695359546581,0.275363565958187,0.275363565958187,0.275363565958142
MTUM.K,ISH USA MMNT ETF,0.804455445544572,-0.585865983156353,0.998201996403991,0.998201996403991,0.998201996403991
SIZE.K,ISH US SZ FC ETF,-0.283773325307435,5.3798618684114805,4.30871638031842,4.30871638031842,4.30871638031836
USMV.K,ISH US MN VL ETF,-0.9784735812133131,-0.378615780705738,-3.09369475545078,-3.09369475545078,-3.0936947554508
SPY,SPDR S&P 500,-0.515261684931856,2.78055503012944,1.7331764202417999,1.7331764202417999,1.73317642024171
